site,type,lat,transect,diver,avgscreenlength,coralarea,transectarea,coralcover,cc
1,1,3,1,4,43.35423439,5066.875068,86708.46878,0.058435758,5.8435758
1,1,3,2,4,100.381864,1908.312045,200763.728,0.009505263,0.9505263
1,1,3,3,4,85.95841518,9012.46287,171916.8304,0.052423389,5.2423389
1,1,3,4,5,104.3000956,10438.45275,208600.1913,0.050040475,5.0040475
1,1,3,5,5,96.73996138,11406.59262,193479.9228,0.058954916,5.8954916
2,2,3,1,4,73.96696285,7814.785698,147933.9257,0.05282619,5.282619
2,2,3,2,4,83.38442684,11100.02453,166768.8537,0.066559338,6.6559338
2,2,3,3,4,99.87004774,19870.41632,199740.0955,0.09948136,9.948136
2,2,3,4,5,86.56043349,12350.87387,173120.867,0.071342491,7.1342491
2,2,3,5,5,112.1179951,31915.09261,224235.9903,0.142328145,14.2328145
2,2,3,6,5,86.05141208,46572.38589,172102.8242,0.270607912,27.0607912
3,3,3,1,4,67.1910879,2401.598898,134382.1758,0.01787141,1.787141
3,3,3,2,4,79.6097132,5131.031595,159219.4264,0.032226166,3.2226166
3,3,3,3,4,75.74137694,12590.1612,151482.7539,0.083112835,8.3112835
3,3,3,4,5,99.35787098,1078.490777,198715.742,0.005427304,0.5427304
3,3,3,5,5,60.50595238,2186.928446,121011.9048,0.018072011,1.8072011
3,3,3,6,5,60.60817308,551.487122,121216.3462,0.00454961,0.454961
4,1,4,1,4,80.03255636,28403.9466,160065.1127,0.177452451,17.7452451
4,1,4,2,4,76.81118538,25232.9078,153622.3708,0.164252821,16.4252821
4,1,4,3,4,74.82136998,44271.0378,149642.74,0.295844876,29.5844876
4,1,4,4,5,90.08319169,14143.8206,180166.3834,0.078504216,7.8504216
4,1,4,5,5,104.0133969,28669.5811,208026.7939,0.137816771,13.7816771
4,1,4,6,5,82.9285913,34589.3615,165857.1826,0.208549072,20.8549072
5,2,4,1,4,68.43822882,11722.96973,136876.4576,0.085646355,8.5646355
5,2,4,2,4,57.0735247,6377.048964,114147.0494,0.055866963,5.5866963
5,2,4,3,4,61.49341519,4124.037518,122986.8304,0.033532351,3.3532351
5,2,4,4,5,76.39033299,13402.31096,152780.666,0.087722559,8.7722559
5,2,4,5,5,109.9252239,19005.82426,219850.4479,0.086448877,8.6448877
5,2,4,6,5,91.89802266,22746.20353,183796.0453,0.123757851,12.3757851
6,3,4,1,4,66.11830936,2996.300444,132236.6187,0.022658629,2.2658629
6,3,4,2,4,73.07274063,5937.037911,146145.4813,0.040624163,4.0624163
6,3,4,3,4,80.81286079,2517.988549,161625.7216,0.015579133,1.5579133
6,3,4,4,5,81.76448467,7413.220842,163528.9693,0.045332768,4.5332768
6,3,4,5,5,86.0225088,6196.26137,172045.0176,0.036015349,3.6015349
6,3,4,6,5,77.71488854,12284.97475,155429.7771,0.079038746,7.9038746
7,1,5,1,4,73.6386293,43621.5961,147277.2586,0.29618691,29.618691
7,1,5,2,4,59.79739622,32951.71966,119594.7924,0.275528048,27.5528048
7,1,5,3,4,56.3296463,23174.78392,112659.2926,0.205706812,20.5706812
7,1,5,4,5,46.85979438,29313.26685,93719.58877,0.312776307,31.2776307
7,1,5,5,5,47.11593629,20030.27682,94231.87257,0.212563714,21.2563714
7,1,5,6,5,41.80002496,17145.97935,83600.04992,0.205095324,20.5095324
8,2,5,1,4,63.18780332,20521.42626,126375.6066,0.162384394,16.2384394
8,2,5,2,4,64.49711683,65380.07033,128994.2337,0.506844907,50.6844907
8,2,5,3,4,65.50545067,39029.643,131010.9013,0.297911415,29.7911415
8,2,5,4,5,40.64349226,22970.94565,81286.98452,0.282590697,28.2590697
8,2,5,5,5,39.00335003,13852.70915,78006.70005,0.177583581,17.7583581
8,2,5,6,5,63.46920724,36560.44133,126938.4145,0.288017158,28.8017158
9,3,5,1,4,53.94577444,4888.857069,107891.5489,0.045312697,4.5312697
9,3,5,2,4,50.97802097,4219.593249,101956.0419,0.041386397,4.1386397
9,3,5,3,4,49.5999437,2526.885148,99199.88739,0.025472661,2.5472661
9,3,5,4,5,61.34587997,1973.254494,122691.7599,0.016083024,1.6083024
9,3,5,5,5,54.540869,496.9136861,109081.738,0.004555425,0.4555425
9,3,5,6,5,53.4748661,3723.667955,106949.7322,0.034816992,3.4816992
11,2,2,1,4,83.874515,20042.987,167749.03,0.119481984,11.9481984
11,2,2,2,4,79.732554,24116.25438,159465.108,0.15123217,15.123217
11,2,2,3,4,85.61379179,25949.16871,171227.5836,0.15154783,15.154783
11,2,2,4,5,91.76299823,25368.75367,183525.9965,0.138229756,13.8229756
11,2,2,5,5,72.34305892,4350.018696,144686.1178,0.030065211,3.0065211
11,2,2,6,5,82.68500632,42914.69598,165370.0126,0.259507122,25.9507122
12,1,2,1,4,97.77058574,6019.741852,195541.1715,0.030785035,3.0785035
12,1,2,2,4,110.743789,25538.31955,221487.5779,0.11530362,11.530362
12,1,2,3,4,108.7053153,23887.62967,217410.6305,0.109873329,10.9873329
12,1,2,4,5,97.92377859,12261.77706,195847.5572,0.062608782,6.2608782
12,1,2,5,5,93.22465004,9606.629471,186449.3001,0.051524084,5.1524084
12,1,2,6,5,100.9210551,8368.825886,201842.1101,0.041462239,4.1462239
13,1,1,1,4,103.1048154,4935.049473,206209.6309,0.023932197,2.3932197
13,1,1,2,4,105.4383399,2278.380636,210876.6799,0.010804327,1.0804327
13,1,1,3,4,90.10706093,5848.910176,180214.1219,0.032455338,3.2455338
13,1,1,4,5,114.0132816,15658.64278,228026.5632,0.068670257,6.8670257
13,1,1,5,5,105.5848105,7158.27484,211169.6209,0.033898223,3.3898223
13,1,1,6,5,104.0468541,15565.93552,208093.7081,0.074802528,7.4802528
14,2,1,1,4,80.25951117,3965.280447,160519.0223,0.024702869,2.4702869
14,2,1,2,4,88.95955443,2964.70774,177919.1089,0.016663234,1.6663234
14,2,1,3,4,78.72221625,2434.672479,157444.4325,0.015463694,1.5463694
14,2,1,4,5,92.67512869,813.5053738,185350.2574,0.004389017,0.4389017
14,2,1,5,5,89.60222273,2686.008416,179204.4455,0.014988514,1.4988514
14,2,1,6,5,82.36040504,613.1504329,164720.8101,0.003722362,0.3722362
